Image_Url, Item_Name, Item_Price, Average_Rating (Max Score is 5), Number_Of_Ratings 
https://m.media-amazon.com/images/I/719rKGtQhKL._AC_UL320_.jpg,STOGA Wireless Controller for Nintendo Switch| Panda Switch Pro Controller with Switch Lite/PC/Switch OLED| Wireless Switch Controller with Turbo/Dual Vibration/NFC Wake-Up| Kawaii Accessories-Black,S$48.99,4.6 ,95
https://m.media-amazon.com/images/I/81bfsXdKDqL._AC_UL320_.jpg,Petunia Pickle Bottom Breast Pump Bag | Breast Pump Bag with Cooler | Perfect for Storage of Breast Pump Parts and 4 Bottles | Breast Pump Accessories Bag | Breast Pump Kit | Neo Geo,S$86.30,4.7 ,8
https://m.media-amazon.com/images/I/51sWX9nddmL._AC_UL320_.jpg,Oculus Quest 2 Elite Strap for Enhanced Support and Comfort in VR,S$73.98,4.4 ,10'685
https://m.media-amazon.com/images/I/81rj84RGseL._AC_UL320_.jpg,Manhattan Toy Wee Baby Stella Travel Time Carrier Baby Doll Accessories Set for 12" Dolls,S$29.30,4.6 ,4'279
https://m.media-amazon.com/images/I/61wQJmiv3lL._AC_UL320_.jpg,Spigen Compatible for Nintendo Switch Case Rugged Armor - Black,S$14.99,4.7 ,694
https://m.media-amazon.com/images/I/71sNtfhv0qL._AC_UL320_.jpg,Joovy Toy Room² Doll Playard| Doll Accessory| Doll Furniture| Pink Dot,S$60.73,4.4 ,498
https://m.media-amazon.com/images/I/71QZ-yDPXAL._AC_UL320_.jpg,AolsteCell Anti-dust Travel Storage Handbag Protective Case for Switch Ring Con|Portable Carrying Switch Ringcon Case for Ring fit Adventure Accessories,,,
https://m.media-amazon.com/images/I/61Z4xj6VhSL._AC_UL320_.jpg,Pearhead Baby Photo Album| Babybook Keepsake Book for New and Expecting Parents| Baby Boy Accessory| Blue,S$30.53,4.7 ,2'621
https://m.media-amazon.com/images/I/71V0xN2NCJS._AC_UL320_.jpg,OAPRIRE Universal Dual Controller Holder for PS4 PS5 Xbox ONE Switch| Controller Stand Gaming Accessories| Build Your Game Fortresses (Crystal Black),S$44.86,4.8 ,327
https://m.media-amazon.com/images/I/41O1+o-OG8L._AC_UL320_.jpg,Baby Jogger Child Tray| City Mini GT2,S$80.94,4.4 ,910
https://m.media-amazon.com/images/I/81Gb7B6sZ-L._AC_UL320_.jpg,21mm Flange Maymom Pump Parts for Spectra S2 Spectra S1 Spectra 9 Plus Breastpump Not Original Spectra Pump Parts Replace Spectra S2 Accessories and Spectra S1 Plus Accessories| Spectra Small Flange,S$56.99,4.8 ,93
https://m.media-amazon.com/images/I/61hcItMO5CL._AC_UL320_.jpg,Wireless Switch Pro Controller for Nintendo Switch/Lite/OLED| Wireless Pro Controller with Headphone Jack| Support Wake-Up Turbo Dual Vibration 6-Axis| Sakura Pink,S$49.99,4.6 ,1'138
https://m.media-amazon.com/images/I/61lmWjezACL._AC_UL320_.jpg,[Updated Version] SUNTA Leather Face Cover Replacement for Oculus Quest 2| VR Facial Interface & Comfortable PU Leather Foam Face Pad & Anti-Leakage Nose Pad & Lens Protect Cover Accessories Set,S$32.77,3.9 ,224
https://m.media-amazon.com/images/I/81Sq+0tYDVL._AC_UL320_.jpg,Accessory Innovations Backpack School Bag for Kids,S$38.66,4.7 ,113
https://m.media-amazon.com/images/I/71caoe6i0qL._AC_UL320_.jpg,Dremel EZ725 All-Purpose Accessory Storage Kit| 70-Piece,S$65.94,4.7 ,831
https://m.media-amazon.com/images/I/81Lmtt88TjL._AC_UL320_.jpg,BLACK+DECKER Auto Vacuum Accessory Set for BDH1200PVAV (PVAVKIT),S$42.86,4.4 ,17'034
https://m.media-amazon.com/images/I/81+fvjKB1-L._AC_UL320_.jpg,Learning Resources Botley The Coding Robot Accessory Set| Multicolor| 38 Pieces,S$28.39,4.5 ,761
https://m.media-amazon.com/images/I/817vwsV5txS._AC_UL320_.jpg,Bratz 20 Yearz Special Anniversary Edition Original Fashion Doll Jade with Accessories and Holographic Poster | Collectible Doll | For Collector Adults and Kids of All Ages,,,
https://m.media-amazon.com/images/I/81wEJ1vJfiS._AC_UL320_.jpg,Beistle 2 Piece Durable Jointed Cardstock Paper Palm Trees Luau Birthday Decorations Summer Tropical Party Accessory Beach Theme Hawaiian Photo Prop Background,S$34.41,4.2 ,670
https://m.media-amazon.com/images/I/716o25k7d0L._AC_UL320_.jpg,Barbie Club Chelsea Doll and Carnival Playset| 6-inch Blonde Wearing Fashion and Accessories| with Ferris Wheel| Bumper Cars| Puppy and More| Gift for 3 to 7 Year Olds,,,
https://m.media-amazon.com/images/I/719rKGtQhKL._AC_UL320_.jpg,STOGA Wireless Controller for Nintendo Switch| Panda Switch Pro Controller with Switch Lite/PC/Switch OLED| Wireless Switch Controller with Turbo/Dual Vibration/NFC Wake-Up| Kawaii Accessories-Black,S$48.99,4.6 ,95
https://m.media-amazon.com/images/I/51sWX9nddmL._AC_UL320_.jpg,Oculus Quest 2 Elite Strap for Enhanced Support and Comfort in VR,S$73.98,4.4 ,10'685
https://m.media-amazon.com/images/I/61wQJmiv3lL._AC_UL320_.jpg,Spigen Compatible for Nintendo Switch Case Rugged Armor - Black,S$14.99,4.7 ,694
https://m.media-amazon.com/images/I/71QZ-yDPXAL._AC_UL320_.jpg,AolsteCell Anti-dust Travel Storage Handbag Protective Case for Switch Ring Con|Portable Carrying Switch Ringcon Case for Ring fit Adventure Accessories,,,
https://m.media-amazon.com/images/I/71V0xN2NCJS._AC_UL320_.jpg,OAPRIRE Universal Dual Controller Holder for PS4 PS5 Xbox ONE Switch| Controller Stand Gaming Accessories| Build Your Game Fortresses (Crystal Black),S$44.86,4.8 ,327
https://m.media-amazon.com/images/I/71SirZVLgmL._AC_UL320_.jpg,Nilight 50026R Digital Tire Inflator Pressure Gauge|250 PSI Air Chuck and Compressor Accessories Heavy Duty with Rubber Hose and Quick Connect Coupler for 0.1 Display Resolution|2 Year Warranty,S$31.10,4.6 ,6'851
https://m.media-amazon.com/images/I/81xEgcKdpVL._AC_UL320_.jpg,Kuryakyn 7147 Motorcycle Accent Accessory: Lower Fork Covers for 2014-19 Harley-Davidson Touring Motorcycles| Gloss Black| 1 Pair,S$170.63,4.5 ,39
